Date,ClientID,MID,City,Owner
2020-08-11 13:07:24.130699,1112,123456790,London,Amanda
2020-08-10 13:07:24.130699,1113,123456791,London,Ivan
2020-08-09 13:07:24.130699,1114,123456792,London,Andrew
2020-08-08 13:07:24.130699,1115,123456793,London,Anabele
2020-08-07 13:07:24.130699,1116,123456794,London,John
2020-08-06 13:07:24.130699,1117,123456795,London,Anabele
2020-08-05 13:07:24.130699,1118,123456796,London,John
2020-08-04 13:07:24.130699,1119,123456797,London,Bill
2020-08-03 13:07:24.130699,1120,123456798,London,Amanda
2020-08-02 13:07:24.130699,1121,123456799,London,Roger
2020-08-01 13:07:24.130699,1122,123456800,New York,Minty
2020-07-31 13:07:24.130699,1123,123456801,New York,Andrew
2020-07-30 13:07:24.130699,1124,123456802,New York,Bill
2020-07-29 13:07:24.130699,1125,123456803,New York,Bill
2020-07-28 13:07:24.130699,1126,123456804,New York,Bill
2020-07-27 13:07:24.130699,1127,123456805,New York,Ivan
2020-07-26 13:07:24.130699,1128,123456806,New York,Fanty
2020-07-25 13:07:24.130699,1129,123456807,New York,Fanty
2020-07-24 13:07:24.130699,1130,123456808,New York,Fanty
2020-07-23 13:07:24.130699,1131,123456809,New York,Anabele
2020-07-22 13:07:24.130699,1132,123456810,Munich,John
2020-07-21 13:07:24.130699,1133,123456811,Munich,Andrew
2020-07-20 13:07:24.130699,1134,123456812,Munich,Mike
2020-07-19 13:07:24.130699,1135,123456813,Munich,John
2020-07-18 13:07:24.130699,1136,123456814,Munich,Andrew
2020-07-17 13:07:24.130699,1137,123456815,Munich,Ivan
2020-07-16 13:07:24.130699,1138,123456816,Munich,Fanty
2020-07-15 13:07:24.130699,1139,123456817,Munich,Minty
2020-07-14 13:07:24.130699,1140,123456818,Munich,Roger
2020-07-13 13:07:24.130699,1141,123456819,Munich,Amanda
2020-07-12 13:07:24.130699,1142,123456820,Paris,John
2020-07-11 13:07:24.130699,1143,123456821,Paris,Mike
2020-07-10 13:07:24.130699,1144,123456822,Paris,Roger
2020-07-09 13:07:24.130699,1145,123456823,Paris,Roger
2020-07-08 13:07:24.130699,1146,123456824,Paris,Bill
2020-07-07 13:07:24.130699,1147,123456825,Paris,Ivan
2020-07-06 13:07:24.130699,1148,123456826,Paris,Bill
2020-07-05 13:07:24.130699,1149,123456827,Paris,Ivan
2020-07-04 13:07:24.130699,1150,123456828,Paris,John
2020-07-03 13:07:24.130699,1151,123456829,Paris,John
2020-07-02 13:07:24.130699,1152,123456830,Madrid,Bill
2020-07-01 13:07:24.130699,1153,123456831,Madrid,Minty
2020-06-30 13:07:24.130699,1154,123456832,Madrid,Roger
2020-06-29 13:07:24.130699,1155,123456833,Madrid,Amanda
